        Frequency / GHz                Modal Significance [Mode 1]/real
----------------------------------------------------------------------
                       2                      0.15204538
                   2.001                      0.15261921
                   2.002                      0.15319734
                   2.003                      0.15377981
                   2.004                      0.15434713
                   2.005                      0.15489727
                   2.006                      0.15545129
                   2.007                      0.15600925
                   2.008                      0.15655448
                   2.009                      0.15708528
                    2.01                      0.15761965
                   2.011                      0.15815762
                   2.012                      0.15868589
                   2.013                      0.15920309
                   2.014                      0.15972363
                   2.015                      0.16024754
                   2.016                      0.16076406
                   2.017                      0.16127209
                   2.018                       0.1617833
                   2.019                      0.16229772
                    2.02                       0.1628065
                   2.021                      0.16330877
                   2.022                       0.1638141
                   2.023                      0.16432253
                   2.024                      0.16482668
                   2.025                      0.16532582
                   2.026                      0.16582795
                   2.027                      0.16633309
                   2.028                      0.16683501
                   2.029                      0.16733308
                    2.03                      0.16783409
                   2.031                      0.16833807
                   2.032                      0.16883964
                   2.033                      0.16933828
                   2.034                      0.16983983
                   2.035                      0.17034431
                   2.036                      0.17084705
                   2.037                      0.17134757
                   2.038                      0.17185099
                   2.039                      0.17235734
                    2.04                      0.17286245
                   2.041                      0.17336595
                   2.042                      0.17387233
                   2.043                      0.17438164
                   2.044                      0.17489015
                   2.045                      0.17539751
                   2.046                      0.17590778
                   2.047                      0.17642097
                   2.048                      0.17693373
                   2.049                      0.17744572
                    2.05                      0.17796064
                   2.051                       0.1784785
                   2.052                      0.17899623
                   2.053                      0.17951352
                   2.054                      0.18003377
                   2.055                      0.18055698
                   2.056                      0.18108032
                   2.057                       0.1816035
                   2.058                      0.18212966
                   2.059                      0.18265882
                    2.06                      0.18318833
                   2.061                      0.18371792
                   2.062                      0.18425053
                   2.063                      0.18478618
                   2.064                      0.18532237
                   2.065                      0.18585885
                   2.066                       0.1863984
                   2.067                      0.18694103
                   2.068                      0.18748436
                   2.069                      0.18802818
                    2.07                      0.18857511
                   2.071                      0.18912517
                   2.072                       0.1896761
                   2.073                      0.19022768
                   2.074                      0.19078241
                   2.075                      0.19134033
                   2.076                      0.19189926
                   2.077                      0.19245899
                   2.078                      0.19302194
                   2.079                      0.19358812
                    2.08                      0.19415545
                   2.081                      0.19472372
                   2.082                      0.19529527
                   2.083                      0.19587011
                   2.084                      0.19644622
                   2.085                      0.19702342
                   2.086                      0.19760394
                   2.087                      0.19818783
                   2.088                       0.1987731
                   2.089                      0.19935957
                    2.09                      0.19994945
                   2.091                      0.20054276
                   2.092                      0.20113756
                   2.093                      0.20173369
                   2.094                      0.20233329
                   2.095                      0.20293639
                   2.096                       0.2035411
                   2.097                      0.20414725
                   2.098                      0.20475694
                   2.099                       0.2053702
                     2.1                      0.20598518
                   2.101                      0.20660172
                   2.102                      0.20722188
                   2.103                      0.20784568
                   2.104                      0.20847131
                   2.105                      0.20909861
                   2.106                      0.20972961
                   2.107                      0.21036434
                   2.108                        0.211001
                   2.109                      0.21163943
                    2.11                      0.21228165
                   2.111                      0.21292769
                   2.112                      0.21357576
                   2.113                      0.21422572
                   2.114                      0.21487956
                   2.115                       0.2155373
                   2.116                      0.21619718
                   2.117                      0.21685906
                   2.118                       0.2175249
                   2.119                      0.21819475
                    2.12                      0.21886685
                   2.121                      0.21954105
                   2.122                      0.22021932
